H0,F0,C,g,e,rh,rf,th,tf,dh,df,Modeled_RDI,Final_Lymphoma_Burden,Final_Reserve_Index
0.8957034395562997,0.4937050094042232,0.4534272618720797,0.17183263167302576,0.5135472606851829,0.15004877595341076,0.19751643529536306,0.19173273813620584,0.14455644136489032,0.11429190737490505,0.09271325635563814,0.6352777777777799,0.2023137748599655,0.370020172959502
0.6291659115100363,0.6411205213919274,0.5434595145480562,0.21749358059228147,0.6988327463158006,0.22292034947667433,0.13149957847804666,0.09685860540152252,0.13588523410429848,0.1432580589423795,0.06823618532573662,0.651166666666667,0.12244123553606871,0.4065993542357362
0.5166263717780446,0.76239619099081,0.5272994548526335,0.16067328671011552,0.7356586362379128,0.2263442306443166,0.19035062736253838,0.15232776335589757,0.24736678086699132,0.0817677976642158,0.08282135143553512,0.6108333333333377,0.10114271842367484,0.3755469265719334
0.7259665862645686,0.5017773997698518,0.15432947577682413,0.2168488188387195,0.5934136052413135,0.1920783126343417,0.15754565952170158,0.0956313683475834,0.17457688941334032,0.10007193637551945,0.11234377400455124,0.7346111111111036,0.13147527519674965,0.41999583422670933
0.7183509661787444,0.5005757120782529,0.18205126945887284,0.21153080125505674,0.731617802517774,0.23638968910590066,0.12665602937520795,0.15731749682828466,0.19975244571164927,0.1005604357944179,0.10201307023184726,0.6269444444444475,0.1176053603121172,0.3913013420358151
0.6283973438720802,0.5530869758020155,0.5526881329236424,0.16620644872044937,0.7464958631588199,0.14943937493375545,0.1422492492140342,0.2574278197237964,0.09605990038847856,0.06696766760319986,0.12256035570788157,0.5707222222222269,0.11592871109431713,0.3235769606997488
0.4710967135553291,0.7575264449117436,0.5666722639488888,0.17309518782658423,0.500599832583221,0.19237292968825914,0.14500691101655416,0.2007604605748058,0.19048017706782572,0.060092467865914725,0.122967153123602,0.5726111111111158,0.24532232589678435,0.30927401592501474
0.6447042751367458,0.6645986710628928,0.21679449161180422,0.20544056475032144,0.5682524233575935,0.18142695266152026,0.10458656866562953,0.18213227789513448,0.18536938372733627,0.05950663375585685,0.05849686209855475,0.6453888888888899,0.18439486990204276,0.37192140559379255
0.5101548553988697,0.578249059702407,0.15526291910755816,0.24743288310998135,0.6175101524856785,0.1779828323586053,0.19094351613147265,0.10882570391833958,0.23865698371241184,0.09421896401936414,0.08069875893761831,0.5829444444444495,0.2160623131812033,0.3883736479534699
0.5193342921019054,0.7857822773783631,0.39867026357957025,0.27873619120924975,0.6827372612286853,0.18071964967457232,0.2132105951394691,0.20204721708927112,0.09350743786897264,0.12805686616908316,0.0971175315686221,0.6717222222222203,0.14983642007402365,0.41537124815115056
