Equal_Reserve,Modeled_RDI,RDI70_Boundary
0.4,0.5500000000000045,0.7445
0.4005,0.5500000000000045,0.7445
0.401,0.5500000000000045,0.7445
0.4015,0.5500000000000045,0.7445
0.402,0.5500000000000045,0.7445
0.4025,0.5500000000000045,0.7445
0.403,0.5500000000000045,0.7445
0.4035,0.5500000000000045,0.7445
0.404,0.5500000000000045,0.7445
0.4045,0.5500000000000045,0.7445
0.405,0.5500000000000045,0.7445
0.4055,0.5500000000000045,0.7445
0.406,0.5500000000000045,0.7445
0.40650000000000003,0.5500000000000045,0.7445
0.40700000000000003,0.5500000000000045,0.7445
0.40750000000000003,0.5500000000000045,0.7445
0.40800000000000003,0.5500000000000045,0.7445
0.40850000000000003,0.5500000000000045,0.7445
0.40900000000000003,0.5500000000000045,0.7445
0.40950000000000003,0.5500000000000045,0.7445
0.41000000000000003,0.5500000000000045,0.7445
0.41050000000000003,0.5500000000000045,0.7445
0.41100000000000003,0.5500000000000045,0.7445
0.41150000000000003,0.5500000000000045,0.7445
0.41200000000000003,0.5500000000000045,0.7445
0.41250000000000003,0.5500000000000045,0.7445
0.41300000000000003,0.5500000000000045,0.7445
0.41350000000000003,0.5500000000000045,0.7445
0.41400000000000003,0.5500000000000045,0.7445
0.41450000000000004,0.5500000000000045,0.7445
0.41500000000000004,0.5500000000000045,0.7445
0.41550000000000004,0.5500000000000045,0.7445
0.41600000000000004,0.5500000000000045,0.7445
0.41650000000000004,0.5500000000000045,0.7445
0.41700000000000004,0.5500000000000045,0.7445
0.41750000000000004,0.5500000000000045,0.7445
0.41800000000000004,0.5500000000000045,0.7445
0.41850000000000004,0.5500000000000045,0.7445
0.41900000000000004,0.5500000000000045,0.7445
0.41950000000000004,0.5500000000000045,0.7445
0.42000000000000004,0.5500000000000045,0.7445
0.42050000000000004,0.5500000000000045,0.7445
0.42100000000000004,0.5500000000000045,0.7445
0.42150000000000004,0.5500000000000045,0.7445
0.42200000000000004,0.5500000000000045,0.7445
0.42250000000000004,0.5500000000000045,0.7445
0.42300000000000004,0.5500000000000045,0.7445
0.42350000000000004,0.5500000000000045,0.7445
0.42400000000000004,0.5500000000000045,0.7445
0.42450000000000004,0.5500000000000045,0.7445
0.42500000000000004,0.5500000000000045,0.7445
0.42550000000000004,0.5500000000000045,0.7445
0.42600000000000005,0.5500000000000045,0.7445
0.42650000000000005,0.5500000000000045,0.7445
0.42700000000000005,0.5500000000000045,0.7445
0.42750000000000005,0.5500000000000045,0.7445
0.42800000000000005,0.5500000000000045,0.7445
0.42850000000000005,0.5500000000000045,0.7445
0.42900000000000005,0.5500000000000045,0.7445
0.42950000000000005,0.5500000000000045,0.7445
0.43000000000000005,0.5500000000000045,0.7445
0.4305,0.5500000000000045,0.7445
0.43100000000000005,0.5500000000000045,0.7445
0.4315,0.5500000000000045,0.7445
0.43200000000000005,0.5500000000000045,0.7445
0.4325,0.5500000000000045,0.7445
0.43300000000000005,0.5500000000000045,0.7445
0.4335,0.5500000000000045,0.7445
0.43400000000000005,0.5500000000000045,0.7445
0.4345,0.5500000000000045,0.7445
0.43500000000000005,0.5500000000000045,0.7445
0.4355,0.5500000000000045,0.7445
0.43600000000000005,0.5500000000000045,0.7445
0.4365,0.5500000000000045,0.7445
0.437,0.5500000000000045,0.7445
0.4375,0.5500000000000045,0.7445
0.438,0.5500000000000045,0.7445
0.4385,0.5500000000000045,0.7445
0.439,0.5500000000000045,0.7445
0.4395,0.5500000000000045,0.7445
0.44,0.5500000000000045,0.7445
0.4405,0.5500000000000045,0.7445
0.441,0.5500000000000045,0.7445
0.4415,0.5500000000000045,0.7445
0.442,0.5500000000000045,0.7445
0.4425,0.5500000000000045,0.7445
0.443,0.5500000000000045,0.7445
0.4435,0.5500000000000045,0.7445
0.444,0.5500000000000045,0.7445
0.4445,0.5500000000000045,0.7445
0.445,0.5500000000000045,0.7445
0.4455,0.5500000000000045,0.7445
0.446,0.5500000000000045,0.7445
0.4465,0.5500000000000045,0.7445
0.447,0.5500000000000045,0.7445
0.4475,0.5500000000000045,0.7445
0.448,0.5500000000000045,0.7445
0.4485,0.5500000000000045,0.7445
0.449,0.5500000000000045,0.7445
0.4495,0.5500000000000045,0.7445
0.45,0.5500000000000045,0.7445
0.4505,0.5500000000000045,0.7445
0.451,0.5500000000000045,0.7445
0.4515,0.5500000000000045,0.7445
0.452,0.5500000000000045,0.7445
0.4525,0.5500000000000045,0.7445
0.453,0.5500000000000045,0.7445
0.4535,0.5500000000000045,0.7445
0.454,0.5500000000000045,0.7445
0.4545,0.5500000000000045,0.7445
0.455,0.5500000000000045,0.7445
0.4555,0.5500000000000045,0.7445
0.456,0.5500000000000045,0.7445
0.4565,0.5500000000000045,0.7445
0.457,0.5500000000000045,0.7445
0.4575,0.5500000000000045,0.7445
0.458,0.5500000000000045,0.7445
0.4585,0.5500000000000045,0.7445
0.459,0.5500000000000045,0.7445
0.4595,0.5500000000000045,0.7445
0.46,0.5500000000000045,0.7445
0.4605,0.5500000000000045,0.7445
0.461,0.5500000000000045,0.7445
0.4615,0.5500000000000045,0.7445
0.462,0.5500000000000045,0.7445
0.4625,0.5500000000000045,0.7445
0.463,0.5500000000000045,0.7445
0.4635,0.5500000000000045,0.7445
0.464,0.5500000000000045,0.7445
0.4645,0.5500000000000045,0.7445
0.465,0.5500000000000045,0.7445
0.4655,0.5500000000000045,0.7445
0.466,0.5500000000000045,0.7445
0.4665,0.5500000000000045,0.7445
0.467,0.5500000000000045,0.7445
0.4675,0.5500000000000045,0.7445
0.468,0.5500000000000045,0.7445
0.4685,0.5500000000000045,0.7445
0.46900000000000003,0.5500000000000045,0.7445
0.46950000000000003,0.5500000000000045,0.7445
0.47000000000000003,0.5500000000000045,0.7445
0.47050000000000003,0.5500000000000045,0.7445
0.47100000000000003,0.5500000000000045,0.7445
0.47150000000000003,0.5500000000000045,0.7445
0.47200000000000003,0.5500000000000045,0.7445
0.47250000000000003,0.5500000000000045,0.7445
0.47300000000000003,0.5500000000000045,0.7445
0.47350000000000003,0.5500000000000045,0.7445
0.47400000000000003,0.5500000000000045,0.7445
0.47450000000000003,0.5500000000000045,0.7445
0.47500000000000003,0.5500000000000045,0.7445
0.47550000000000003,0.5500000000000045,0.7445
0.47600000000000003,0.5500000000000045,0.7445
0.47650000000000003,0.5500000000000045,0.7445
0.47700000000000004,0.5500000000000045,0.7445
0.47750000000000004,0.5500000000000045,0.7445
0.47800000000000004,0.5500000000000045,0.7445
0.47850000000000004,0.5500000000000045,0.7445
0.47900000000000004,0.5500000000000045,0.7445
0.47950000000000004,0.5500000000000045,0.7445
0.48000000000000004,0.5500000000000045,0.7445
0.48050000000000004,0.5500000000000045,0.7445
0.48100000000000004,0.5500000000000045,0.7445
0.48150000000000004,0.5500000000000045,0.7445
0.48200000000000004,0.5500000000000045,0.7445
0.48250000000000004,0.5500000000000045,0.7445
0.48300000000000004,0.5500000000000045,0.7445
0.48350000000000004,0.5500000000000045,0.7445
0.48400000000000004,0.5500000000000045,0.7445
0.48450000000000004,0.5500000000000045,0.7445
0.48500000000000004,0.5500000000000045,0.7445
0.48550000000000004,0.5500000000000045,0.7445
0.48600000000000004,0.5500000000000045,0.7445
0.48650000000000004,0.5500000000000045,0.7445
0.48700000000000004,0.5500000000000045,0.7445
0.48750000000000004,0.5500000000000045,0.7445
0.488,0.5500000000000045,0.7445
0.48850000000000005,0.5500000000000045,0.7445
0.489,0.5500000000000045,0.7445
0.48950000000000005,0.5500000000000045,0.7445
0.49,0.5500000000000045,0.7445
0.49050000000000005,0.5500000000000045,0.7445
0.491,0.5500000000000045,0.7445
0.49150000000000005,0.5500000000000045,0.7445
0.492,0.5500000000000045,0.7445
0.49250000000000005,0.5500000000000045,0.7445
0.493,0.5500000000000045,0.7445
0.49350000000000005,0.5500000000000045,0.7445
0.494,0.5500000000000045,0.7445
0.49450000000000005,0.5500000000000045,0.7445
0.495,0.5500000000000045,0.7445
0.49550000000000005,0.5500000000000045,0.7445
0.496,0.5500000000000045,0.7445
0.49650000000000005,0.5500000000000045,0.7445
0.497,0.5500000000000045,0.7445
0.49750000000000005,0.5500000000000045,0.7445
0.498,0.5500000000000045,0.7445
0.49850000000000005,0.5500000000000045,0.7445
0.499,0.5500000000000045,0.7445
0.49950000000000006,0.5500000000000045,0.7445
0.5,0.5500000000000045,0.7445
0.5005000000000001,0.5500000000000045,0.7445
0.501,0.5500000000000045,0.7445
0.5015000000000001,0.5500000000000045,0.7445
0.502,0.5500000000000045,0.7445
0.5025000000000001,0.5500000000000045,0.7445
0.503,0.5500000000000045,0.7445
0.5035000000000001,0.5500000000000045,0.7445
0.504,0.5500000000000045,0.7445
0.5045000000000001,0.5500000000000045,0.7445
0.505,0.5500000000000045,0.7445
0.5055000000000001,0.5500000000000045,0.7445
0.506,0.5500000000000045,0.7445
0.5065000000000001,0.5500000000000045,0.7445
0.507,0.5500000000000045,0.7445
0.5075000000000001,0.5500000000000045,0.7445
0.508,0.5500000000000045,0.7445
0.5085000000000001,0.5500000000000045,0.7445
0.509,0.5500000000000045,0.7445
0.5095000000000001,0.5500000000000045,0.7445
0.51,0.5500000000000045,0.7445
0.5105000000000001,0.5500000000000045,0.7445
0.511,0.5500000000000045,0.7445
0.5115000000000001,0.5500000000000045,0.7445
0.512,0.5500000000000045,0.7445
0.5125000000000001,0.5500000000000045,0.7445
0.513,0.5500000000000045,0.7445
0.5135000000000001,0.5500000000000045,0.7445
0.514,0.5500000000000045,0.7445
0.5145000000000001,0.5500000000000045,0.7445
0.515,0.5500000000000045,0.7445
0.5155000000000001,0.5500000000000045,0.7445
0.516,0.5500000000000045,0.7445
0.5165000000000001,0.5500000000000045,0.7445
0.517,0.5500000000000045,0.7445
0.5175000000000001,0.5500000000000045,0.7445
0.518,0.5500000000000045,0.7445
0.5185000000000001,0.5500000000000045,0.7445
0.519,0.5500000000000045,0.7445
0.5195000000000001,0.5500000000000045,0.7445
0.52,0.5500000000000045,0.7445
0.5205,0.5500000000000045,0.7445
0.521,0.5500000000000045,0.7445
0.5215000000000001,0.5500000000000045,0.7445
0.522,0.5500000000000045,0.7445
0.5225,0.5500000000000045,0.7445
0.523,0.5500000000000045,0.7445
0.5235000000000001,0.5500000000000045,0.7445
0.524,0.5500000000000045,0.7445
0.5245,0.5500000000000045,0.7445
0.525,0.5500000000000045,0.7445
0.5255000000000001,0.5500000000000045,0.7445
0.526,0.5500000000000045,0.7445
0.5265,0.5500000000000045,0.7445
0.527,0.5500000000000045,0.7445
0.5275000000000001,0.5500000000000045,0.7445
0.528,0.5500000000000045,0.7445
0.5285,0.5500000000000045,0.7445
0.529,0.5500000000000045,0.7445
0.5295000000000001,0.5500000000000045,0.7445
0.53,0.5500000000000045,0.7445
0.5305,0.5500000000000045,0.7445
0.531,0.5500000000000045,0.7445
