Scenario,L0,H0,F0,C,Initial_RI,Final_L,Final_H,Final_F,Final_RI,Modeled_RDI,Preserved_Fraction,Compensated_Fraction,Intolerant_Fraction
High reserve,0.75,0.85,0.85,0.2,0.6868686868686869,0.10333402414775973,0.47605393439523863,0.48383379254835457,0.4460988588353431,0.7854861111110998,0.14309484193011648,0.8569051580698835,0.0
Reference,0.75,0.72,0.68,0.35,0.5487954724560283,0.14925279030457464,0.44951238694730694,0.4430203795303192,0.39673661264871457,0.673611111111109,0.0,0.6173044925124792,0.3826955074875208
Borderline reserve,0.75,0.6,0.58,0.4,0.45818660050493587,0.19303030585181732,0.41851236860325164,0.4119617512195129,0.361612368796556,0.5901666666666715,0.0,0.20133111480865223,0.7986688851913477
Low reserve,0.75,0.55,0.55,0.45,0.4230769230769231,0.21144154003515078,0.39881327204990985,0.3945218254065335,0.3403768913701909,0.5532777777777823,0.0,0.016638935108153077,0.9833610648918469
Severely constrained,0.75,0.45,0.45,0.55,0.339622641509434,0.2129762232933903,0.3429839709168054,0.3363075018174021,0.2852244605051086,0.5500000000000045,0.0,0.0,1.0
