H0,F0,C,Modeled_RDI,Final_L,Final_H,Final_F,Final_DTRI
0.4,0.4,0.35,0.5500000000000045,0.2129762232933903,0.3301264973684956,0.3249748733521787,0.2871288748970832
0.4,0.41250000000000003,0.35,0.5500000000000045,0.2129762232933903,0.3329806451028094,0.32990171111228,0.2905451062082567
0.4,0.42500000000000004,0.35,0.5500000000000045,0.2129762232933903,0.3358113986929976,0.33480749971750257,0.2939389180164425
0.4,0.4375,0.35,0.5500000000000045,0.2129762232933903,0.3386190174875157,0.3396924686657302,0.2973106163926015
0.4,0.45,0.35,0.5500000000000045,0.2129762232933903,0.3414037571825371,0.34455684425939936,0.3006604992419654
0.4,0.4625,0.35,0.5500000000000045,0.2129762232933903,0.3441658698852165,0.349400849660419,0.30398885672181386
0.4,0.47500000000000003,0.35,0.5500000000000045,0.2129762232933903,0.346905604175651,0.35422470494396535,0.30729597162733
0.4,0.48750000000000004,0.35,0.5500000000000045,0.2129762232933903,0.3496232051675605,0.35902862715116945,0.3105821197485608
0.4,0.5,0.35,0.5500000000000045,0.2129762232933903,0.35231891456773107,0.3638128303407342,0.31384757020119236
0.4,0.5125000000000001,0.35,0.5500000000000045,0.2129762232933903,0.35499297073423347,0.36857752563950436,0.3170925857335414
0.4,0.525,0.35,0.5500000000000045,0.2129762232933903,0.3576456087334608,0.3733229212920018,0.3203174230119152
0.4,0.5375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3602770603960033,0.3780492227089684,0.32352233288627247
0.4,0.55,0.35,0.5500000000000045,0.2129762232933903,0.3628875543713964,0.3827566325149314,0.3267075606379089
0.4,0.5625,0.35,0.5500000000000045,0.2129762232933903,0.36547731618176044,0.3874453505948074,0.329873346210715
0.4,0.5750000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3680465682743616,0.3921155741395844,0.3330199244274088
0.4,0.5875,0.35,0.5500000000000045,0.2129762232933903,0.3705955300731191,0.3967674976910828,0.3361475251919905
0.4,0.6000000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3731244180290907,0.40140131318583766,0.33925637367956724
0.4,0.6125,0.35,0.5500000000000045,0.2129762232933903,0.3756334456699374,0.40601720999810326,0.34234669051455147
0.4,0.625,0.35,0.5500000000000045,0.2129762232933903,0.37812282364842253,0.4106153749820149,0.34541869193818175
0.4,0.6375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.38059275978994095,0.41519599251291744,0.3484725899661894
0.4,0.65,0.35,0.5500000000000045,0.2129762232933903,0.38304345913911675,0.4197592445278891,0.3515085925373831
0.4,0.6625000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3854751240054795,0.42430531056546533,0.35452690365383516
0.4,0.675,0.35,0.5500000000000045,0.2129762232933903,0.38788795400825193,0.4288343678045961,0.3575277235133079
0.4,0.6875,0.35,0.5500000000000045,0.2129762232933903,0.3902821461202613,0.4333465911028485,0.3605112486344912
0.4,0.7000000000000001,0.35,0.5500000000000045,0.2129762232933903,0.39265789471099005,0.4378421530338576,0.3634776719755634
0.4,0.7125,0.35,0.5500000000000045,0.2129762232933903,0.3950153915888014,0.44232122392407053,0.36642718304657507
0.4,0.7250000000000001,0.35,0.5555000000000045,0.21038939794435324,0.3971126434313957,0.4463420525092362,0.36927407959279296
0.4,0.7375,0.35,0.5636666666666712,0.20644839140654733,0.398970425661323,0.45000616187777687,0.3719744566366068
0.4,0.75,0.35,0.5716666666666714,0.20248682055906259,0.4006975430273325,0.45352225822343606,0.37455787901392107
0.4,0.7625000000000001,0.35,0.579500000000005,0.19852641561046677,0.40230023291301825,0.45689824720089167,0.3770284807709056
0.4,0.775,0.35,0.5871666666666716,0.1945863934993888,0.4037850459155939,0.46014230300099146,0.3793908249126591
0.4,0.7875000000000001,0.35,0.5946111111111159,0.19071253976869648,0.4051657338266208,0.4632723068389731,0.38165460496908055
0.4,0.8,0.35,0.6019444444444491,0.18686133777378036,0.40643594236850705,0.46627835810558954,0.38381608227441877
0.4,0.8125,0.35,0.6089444444444488,0.18316219243548856,0.40763453013645967,0.4692113440784801,0.3859032780891725
0.4,0.8250000000000001,0.35,0.6159444444444486,0.17944920246633858,0.40871914520664926,0.47201422063538984,0.38788646913736197
0.4,0.8375,0.35,0.6227222222222257,0.17584842345442375,0.4097301126524018,0.4747393300856303,0.3897952426967337
0.4,0.8500000000000001,0.35,0.6293888888888917,0.17230791170382823,0.4106546799475477,0.47736954114492086,0.39162066740824114
0.4,0.8625,0.35,0.6359444444444465,0.16883350571814743,0.4114972476518291,0.4799102525609795,0.3933662833821654
0.4,0.875,0.35,0.6422777777777792,0.16548862282837237,0.41228665913323675,0.48239712912382654,0.39505470385281327
0.4,0.8875000000000001,0.35,0.6483888888888896,0.1622763071961373,0.41303126503223375,0.4848395955439749,0.39669324896000596
0.4,0.9,0.35,0.6545,0.15908268019569127,0.41368489000150516,0.4871805356292131,0.3982461500485123
0.41250000000000003,0.4,0.35,0.5500000000000045,0.2129762232933903,0.3344178165385056,0.32732417135457237,0.29003173968414475
0.41250000000000003,0.41250000000000003,0.35,0.5500000000000045,0.2129762232933903,0.3372240786036,0.33220682610139457,0.29341029627333215
0.41250000000000003,0.42500000000000004,0.35,0.5500000000000045,0.2129762232933903,0.3400075487928168,0.3370689713453075,0.2967668951667411
0.41250000000000003,0.4375,0.35,0.5500000000000045,0.2129762232933903,0.34276847739799254,0.34191082860049066,0.3001018350020864
0.41250000000000003,0.45,0.35,0.5500000000000045,0.2129762232933903,0.3455071112216015,0.34673261632783114,0.3034154064751148
0.41250000000000003,0.4625,0.35,0.5500000000000045,0.2129762232933903,0.3482236936365765,0.35153454998685163,0.3067078927419398
0.41250000000000003,0.47500000000000003,0.35,0.5500000000000045,0.2129762232933903,0.3509184646449048,0.3563168420865924,0.3099795697910921
0.41250000000000003,0.48750000000000004,0.35,0.5500000000000045,0.2129762232933903,0.353591660935036,0.3610797022354628,0.31323070678811404
0.41250000000000003,0.5,0.35,0.5500000000000045,0.2129762232933903,0.3562435159381171,0.3658233371900781,0.3164615663952165
0.41250000000000003,0.5125000000000001,0.35,0.5500000000000045,0.2129762232933903,0.35887425988308796,0.3705479509031202,0.3196724050682651
0.41250000000000003,0.525,0.35,0.5500000000000045,0.2129762232933903,0.361484119850675,0.37525374457023697,0.3228634733331171
0.41250000000000003,0.5375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3640733198262888,0.3799409166760034,0.3260350160431134
0.41250000000000003,0.55,0.35,0.5500000000000045,0.2129762232933903,0.3666420807518666,0.38460966303896194,0.32918727261935776
0.41250000000000003,0.5625,0.35,0.5500000000000045,0.2129762232933903,0.36919062057667845,0.3892601768557778,0.3323204772752501
0.41250000000000003,0.5750000000000001,0.35,0.5500000000000045,0.2129762232933903,0.37171915430712005,0.3938926487445115,0.3354348592265859
0.41250000000000003,0.5875,0.35,0.5500000000000045,0.2129762232933903,0.37422789405551893,0.39850726678704324,0.3385306428884177
0.41250000000000003,0.6000000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3767170490879771,0.4031042165706593,0.34160804805975137
0.41250000000000003,0.6125,0.35,0.5500000000000045,0.2129762232933903,0.3791868258712671,0.4076836812288248,0.3446672900970486
0.41250000000000003,0.625,0.35,0.5500000000000045,0.2129762232933903,0.3816374281188078,0.41224584148116333,0.3477085800774216
0.41250000000000003,0.6375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3840690568357412,0.4167908756726498,0.35073212495231415
0.41250000000000003,0.65,0.35,0.5500000000000045,0.2129762232933903,0.3864819103631258,0.42131895981205014,0.35373812769240004
0.41250000000000003,0.6625000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3888761844212735,0.42583026760961423,0.3567267874243595
0.41250000000000003,0.675,0.35,0.5500000000000045,0.2129762232933903,0.39125207215224483,0.43032497051404367,0.3596982995601357
0.41250000000000003,0.6875,0.35,0.5500000000000045,0.2129762232933903,0.3936097641615219,0.43480323774874524,0.36265285591921775
0.41250000000000003,0.7000000000000001,0.35,0.5529444444444489,0.21159855821720513,0.39582521521538955,0.43904149701544604,0.3655505504250474
0.41250000000000003,0.7125,0.35,0.5602777777777823,0.20809741011557004,0.39776770273593715,0.44284530720239723,0.36831310443458876
0.41250000000000003,0.7250000000000001,0.35,0.5676111111111157,0.20450659100013102,0.3995913770773935,0.4465108884855473,0.3709733717484458
0.41250000000000003,0.7375,0.35,0.5748333333333382,0.20089463858457282,0.40130469561049337,0.45005131620008376,0.37353504127725157
0.41250000000000003,0.75,0.35,0.5820000000000051,0.1972479467030087,0.4029057388208169,0.4534632565989773,0.37599678701839045
0.41250000000000003,0.7625000000000001,0.35,0.5890555555555604,0.1936075144563721,0.40440250086516405,0.4567577063514027,0.3783633310233701
0.41250000000000003,0.775,0.35,0.5960555555555603,0.18995638967095774,0.405791857963194,0.45993001624603674,0.38063248606109595
0.41250000000000003,0.7875000000000001,0.35,0.602944444444449,0.18633405212292597,0.40708367213370245,0.46299326556097076,0.38281076488278426
0.41250000000000003,0.8,0.35,0.6096111111111154,0.18280904150837582,0.40829963894875426,0.4659752144529197,0.384913793329883
0.41250000000000003,0.8125,0.35,0.6162777777777819,0.17927218603921113,0.4094107142763143,0.46883757177692276,0.38692106718402464
0.41250000000000003,0.8250000000000001,0.35,0.6228333333333368,0.17578935530066597,0.41043712585558073,0.47160647879007944,0.3888470915290792
0.41250000000000003,0.8375,0.35,0.6291666666666694,0.17242581197424892,0.4114049201172744,0.4743142862433441,0.3907116703720324
0.41250000000000003,0.8500000000000001,0.35,0.6355000000000021,0.16906869319747336,0.4122762930360111,0.4769132618789201,0.3924866861162315
0.41250000000000003,0.8625,0.35,0.6416111111111126,0.16584003332222677,0.41310022703744975,0.4794641159720782,0.3942096156538873
0.41250000000000003,0.875,0.35,0.6476111111111119,0.1626841830689629,0.41385904146006763,0.48194450378216136,0.3958674469372385
0.41250000000000003,0.8875000000000001,0.35,0.6536111111111113,0.15954593371718834,0.4145297077643933,0.48432647566608705,0.39744232218115816
0.41250000000000003,0.9,0.35,0.6593888888888884,0.15654364101410662,0.41516894996750675,0.4866787264935465,0.3989789881017432
0.42500000000000004,0.4,0.35,0.5500000000000045,0.2129762232933903,0.338691451902941,0.32965753600417536,0.29291755983719314
0.42500000000000004,0.41250000000000003,0.35,0.5500000000000045,0.2129762232933903,0.3414503404630139,0.33449646664656224,0.2962588467407866
0.42500000000000004,0.42500000000000004,0.35,0.5500000000000045,0.2129762232933903,0.3441870279581678,0.3393154173047503,0.29957863051743566
0.42500000000000004,0.4375,0.35,0.5500000000000045,0.2129762232933903,0.3469017558810879,0.34411460173465525,0.3028772024688233
0.42500000000000004,0.45,0.35,0.5500000000000045,0.2129762232933903,0.3495947623917911,0.3488942307756294,0.3061548461776039
0.42500000000000004,0.4625,0.35,0.5500000000000045,0.2129762232933903,0.35226628237416535,0.3536545123995637,0.3094118378945059
0.42500000000000004,0.47500000000000003,0.35,0.5500000000000045,0.2129762232933903,0.35491654749136964,0.35839565175898613,0.3126484468967182
0.42500000000000004,0.48750000000000004,0.35,0.5500000000000045,0.2129762232933903,0.35754578624010985,0.36311785123420737,0.3158649358202107
0.42500000000000004,0.5,0.35,0.5500000000000045,0.2129762232933903,0.3601542240038277,0.36782131047951466,0.31906156096834276
0.42500000000000004,0.5125000000000001,0.35,0.5500000000000045,0.2129762232933903,0.36274208310482847,0.37250622646845516,0.32223857259888616
0.42500000000000004,0.525,0.35,0.5500000000000045,0.2129762232933903,0.3653095828553536,0.37717279353821215,0.32539621519133755
0.42500000000000004,0.5375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3678569396076532,0.38182120343310394,0.3285347276962446
0.42500000000000004,0.55,0.35,0.5500000000000045,0.2129762232933903,0.37038436680305525,0.3864516453472321,0.33165434376806563
0.42500000000000004,0.5625,0.35,0.5500000000000045,0.2129762232933903,0.37289207502006594,0.39106430596627917,0.3347552919829419
0.42500000000000004,0.5750000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3753802720215267,0.39565936950850106,0.33783779604263897
0.42500000000000004,0.5875,0.35,0.5500000000000045,0.2129762232933903,0.37784916280083847,0.40023701776490705,0.3409020749657669
0.42500000000000004,0.6000000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3802989496272853,0.4047974301386637,0.34394834326731133
0.42500000000000004,0.6125,0.35,0.5500000000000045,0.2129762232933903,0.38272983209047207,0.40934078368373333,0.3469768111273914
0.42500000000000004,0.625,0.35,0.5500000000000045,0.2129762232933903,0.3851420071438983,0.4138672531427668,0.34998768455008444
0.42500000000000004,0.6375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.38753566914768395,0.4183770109842586,0.35298116551307335
0.42500000000000004,0.65,0.35,0.5500000000000045,0.2129762232933903,0.3899110099104751,0.42287022743899894,0.35595745210882
0.42500000000000004,0.6625000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3922682187305374,0.42734707053581966,0.35891673867788354
0.42500000000000004,0.675,0.35,0.5501666666666711,0.212898662726723,0.394600785887518,0.4317957863314852,0.36185730184736103
0.42500000000000004,0.6875,0.35,0.556944444444449,0.2097007189552902,0.39660652743787345,0.4357031287518151,0.36466906308161884
0.42500000000000004,0.7000000000000001,0.35,0.5637222222222268,0.20642121185993922,0.39850892019366835,0.4394910016005925,0.3673923792774613
0.42500000000000004,0.7125,0.35,0.5705000000000047,0.20307011625700921,0.4003068861148492,0.44315828904400306,0.3700254725171006
0.42500000000000004,0.7250000000000001,0.35,0.5772777777777827,0.1996572758528938,0.40199953725675097,0.44670415473860375,0.3725667395608225
0.42500000000000004,0.7375,0.35,0.5839444444444495,0.19624922113928525,0.40359793946738337,0.45014414565287786,0.3750222412584822
0.42500000000000004,0.75,0.35,0.590611111111116,0.19279920255488567,0.4050926525297712,0.4534649805820444,0.3773857613910136
0.42500000000000004,0.7625000000000001,0.35,0.5972777777777825,0.18931557642073885,0.40648322788607083,0.45666647293478696,0.37965619821192653
0.42500000000000004,0.775,0.35,0.6037222222222267,0.18592364286654595,0.4078017669544086,0.45979055476343916,0.38185530684674684
0.42500000000000004,0.7875000000000001,0.35,0.610166666666671,0.1825146257316707,0.40902141228586414,0.46280171990663727,0.3839646842099247
0.42500000000000004,0.8,0.35,0.6165000000000042,0.17915413579597506,0.41016106879681197,0.4657242309768562,0.3859975300677925
0.42500000000000004,0.8125,0.35,0.6228333333333368,0.17578935530066597,0.41120444371620574,0.4685374658726536,0.3879419249967852
0.42500000000000004,0.8250000000000001,0.35,0.6289444444444473,0.1725437830584067,0.41219511055564406,0.47129573301802674,0.389830112451564
0.42500000000000004,0.8375,0.35,0.6350555555555577,0.16930399821572537,0.4130949636903287,0.47395145757616414,0.39163393585089085
0.42500000000000004,0.8500000000000001,0.35,0.641055555555557,0.16613300813648155,0.4139284938655452,0.4765348877570233,0.3933718511176811
0.42500000000000004,0.8625,0.35,0.6469444444444453,0.1630340269291842,0.41469970550565366,0.47905071030131485,0.3950472027974185
0.42500000000000004,0.875,0.35,0.6527222222222224,0.16000961718081544,0.41541252727033967,0.4815035113224626,0.3966633242298848
0.42500000000000004,0.8875000000000001,0.35,0.6583888888888885,0.15706175930990596,0.4160708063805483,0.4838977688872528,0.39822352681324136
0.42500000000000004,0.9,0.35,0.6639444444444434,0.1541919162406048,0.4166783046577281,0.48623784765437306,0.39973109100573717
0.4375,0.4,0.35,0.5500000000000045,0.2129762232933903,0.3429475707039454,0.3319751154000059,0.2957865461730203
0.4375,0.41250000000000003,0.35,0.5500000000000045,0.2129762232933903,0.34565959132581264,0.3367707750308019,0.29909096214636166
0.4375,0.42500000000000004,0.35,0.5500000000000045,0.2129762232933903,0.3483499904554162,0.3415469742545917,0.3023743224373452
0.4375,0.4375,0.35,0.5500000000000045,0.2129762232933903,0.35101900103686684,0.3463039192884587,0.3056369111115595
0.4375,0.45,0.35,0.5500000000000045,0.2129762232933903,0.3536668528322925,0.3510418135644429,0.30887900473716157
0.4375,0.4625,0.35,0.5500000000000045,0.2129762232933903,0.35629377247525607,0.3557608577759274,0.31210087275697884
0.4375,0.47500000000000003,0.35,0.5500000000000045,0.2129762232933903,0.358899983523108,0.3604612499231079,0.31530277783342775
0.4375,0.48750000000000004,0.35,0.5500000000000045,0.2129762232933903,0.3614857065082858,0.3651431853575477,0.3184849761686948
0.4375,0.5,0.35,0.5500000000000045,0.2129762232933903,0.36405115898860374,0.36980685682586395,0.3216477178024059
0.4375,0.5125000000000001,0.35,0.5500000000000045,0.2129762232933903,0.36659655559653453,0.37445245451254355,0.3247912468887413
0.4375,0.525,0.35,0.5500000000000045,0.2129762232933903,0.36912210808752427,0.3790801660819232,0.3279158019547872
0.4375,0.5375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.37162802538735673,0.3836901767193449,0.3310216161417161
0.4375,0.55,0.35,0.5500000000000045,0.2129762232933903,0.37411451363858045,0.38828266917150767,0.33410891743023347
0.4375,0.5625,0.35,0.5500000000000045,0.2129762232933903,0.3765817762460318,0.3928578237860366,0.33717792885159636
0.4375,0.5750000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3790300139214749,0.3974158185502815,0.3402288686853781
0.4375,0.5875,0.35,0.5500000000000045,0.2129762232933903,0.3814594247273633,0.40195682912936664,0.34326195064503495
0.4375,0.6000000000000001,0.35,0.5500000000000045,0.2129762232933903,0.3838702041197589,0.4064810289035105,0.34627738405224834
0.4375,0.6125,0.35,0.5500000000000045,0.2129762232933903,0.38626254499042667,0.4109885890046216,0.34927537400091097
0.4375,0.625,0.35,0.5500000000000045,0.2129762232933903,0.38863663770810813,0.41547967835220234,0.35225612151155195
0.4375,0.6375000000000001,0.35,0.5500000000000045,0.2129762232933903,0.39099267015901007,0.41995446368855827,0.3552198236769242
0.4375,0.65,0.35,0.5500000000000045,0.2129762232933903,0.3933308277865204,0.42441310961335005,0.35816667379941947
0.4375,0.6625000000000001,0.35,0.5536111111111156,0.2112843114494202,0.39549274323446404,0.42858837324831206,0.36104580251256874
0.4375,0.675,0.35,0.559944444444449,0.20825859413808018,0.39745918271806485,0.4324758624176829,0.3638213961812976
0.4375,0.6875,0.35,0.5663888888888935,0.20511075422582892,0.3993248962037283,0.4362452589959269,0.36651318628231855
0.4375,0.7000000000000001,0.35,0.572722222222227,0.20195751947393017,0.40110374659968695,0.43991751344570007,0.36912696864957995
0.4375,0.7125,0.35,0.5791666666666716,0.19869638523276556,0.40277757803575953,0.4434668960105168,0.37165184040933785
0.4375,0.7250000000000001,0.35,0.585500000000005,0.19544762298361346,0.40436609645915256,0.44692095067850574,0.37409857879671293
