Outcome,Median,P05,P95
Modeled RDI,0.6505555555555562,0.5668333333333326,0.7528333333333324
Final lymphoma burden,0.16507015895211705,0.08082819225794292,0.28795052382726993
Final reserve index,0.382028700710617,0.31182700540699226,0.45592391336749405
